layer,field,alias,type,length,nullable,domain,codedValues
Pathways,validationstatus,Validation status,SmallInteger,,True,Validation Status,"0=No calculation required, no validation required, no error; 1=No calculation required, no validation required, has error(s); 2=No calculation required, validation required, no error; 3=No calculation required, validation required, has error(s); 4=Calculation required, no validation required, no error; 5=Calculation required, no validation required, has error(s); 6=Calculation required, validation required, no error; 7=Calculation required, validation required, has error(s)"
Pathways,project_number,Project Number,String,255,True,,
Pathways,edit_comment,Edit Comment,String,255,True,,
Pathways,suffix_type,Suffix Type,String,100,True,dSuffixType,Hallway=Hallway; Sidewalk=Sidewalk; Stairs=Stairs; Curb=Curb; Ramp=Ramp; Curb Ramp=Curb Ramp; Elevator=Elevator; Wheelchair Lift=Wheelchair Lift; Escalator=Escalator; Moving Walkway=Moving Walkway; Bridge=Bridge; Tunnel=Tunnel; Breezeway=Breezeway; Temporary Pathway=Temporary Pathway; Crosswalk=Crosswalk
Pathways,SHAPE__Length,SHAPE__Length,Double,,True,,
Polygon Barriers,project_name,Project Name,String,255,True,,
Polygon Barriers,expected_start_date,Expected Start Date,Date,29,True,,
Polygon Barriers,expected_end_date,Expected End Date,Date,29,True,,
Polygon Barriers,hub_link,Hub Link,String,255,True,,
Polygon Barriers,objectid,OBJECTID,OID,4,False,,
Polygon Barriers,globalid,GlobalID,GlobalID,38,False,,
Landmarks,objectid,ObjectID,OID,4,False,,
Landmarks,description,Description,String,255,True,,
Landmarks,level_id,Level ID,String,255,True,,
Landmarks,vertical_order,Vertical Order,Integer,,False,,
Landmarks,created_user,created_user,String,255,True,,
Landmarks,created_date,created_date,Date,29,True,,
Landmarks,last_edited_user,last_edited_user,String,255,True,,
Landmarks,last_edited_date,last_edited_date,Date,29,True,,
Landmarks,landmark_type,Landmark Type,String,255,True,Landmark_Type,Art Installation=Art Installation; Elevator=Elevator; Quad=Quad; Tunnel Entrance=Tunnel Entrance; Other=Other
Elevators,objectid,ObjectID,OID,4,False,,
Elevators,description,Description,String,255,True,,
Elevators,level_id,Level ID,String,255,True,,
Elevators,vertical_order,Vertical Order,Integer,,False,,
Elevators,created_user,Created User,String,255,True,,
Elevators,created_date,Created Date,Date,29,True,,
Elevators,last_edited_user,Last Edited User,String,255,True,,
Elevators,last_edited_date,Last Edited Date,Date,29,True,,
Elevators,facility_name,Facility Name,String,255,True,,
Elevators,facility_id,Facility ID,String,255,True,,
Elevators,globalid,GlobalID,GlobalID,38,False,,
Elevators,image_url,Image URL,String,5000,True,,
Entryways-All,objectid,OBJECTID,OID,4,False,,
Entryways-All,use_type,Use Type,String,50,True,,
Entryways-All,asset_id,ID,String,15,True,,
Entryways-All,accessible_entrance,Accessible Entrance,String,5,True,Entryways_accessible_entrance_43208c7a-730d-4756-8f06-a4bed0b42f99,N=No; Y=Yes
Entryways-All,globalid,GlobalID,GlobalID,38,False,,
Entryways-All,geo_level,Floor Level,Integer,,True,Entryways_geo_level_38912099-4ef8-4a88-8b1c-595a3c7d7953_12,-2=Sub-Basement; -1=Basement; 0=Ground Floor; 1=1st Floor; 2=2nd Floor; 3=3rd Floor; 4=4th Floor
Entryways-All,automatic_door,Automatic Door Opener,String,3,True,Entryways_automatic_door_0a11ec81-8b69-4fbc-85d3-bca90b7872ab,Y=Yes; N=No
